"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22, 2019","1,100.02","1,088.01","1,101.44","1,088.01","223.43M","1.10%"
"Aug 21, 2019","1,088.01","1,075.04","1,090.98","1,075.04","323.01M","1.10%"
"Aug 20, 2019","1,076.14","1,063.19","1,077.42","1,063.19","176.78M","1.30%"
"Aug 19, 2019","1,062.32","1,060.65","1,065.76","1,056.24","200.21M","0.18%"
"Aug 16, 2019","1,060.38","1,072.43","1,076.39","1,054.20","223.91M","-1.15%"
"Aug 15, 2019","1,072.74","1,090.28","1,090.28","1,072.69","171.25M","-1.61%"
"Aug 14, 2019","1,090.28","1,099.25","1,099.43","1,090.28","185.59M","-0.84%"
"Aug 09, 2019","1,099.52","1,103.87","1,104.59","1,099.52","199.75M","-0.39%"
"Aug 08, 2019","1,103.87","1,117.36","1,117.36","1,102.57","200.35M","-1.21%"
"Aug 07, 2019","1,117.36","1,123.10","1,123.55","1,116.87","86.71M","-0.51%"
"Aug 06, 2019","1,123.10","1,129.75","1,131.58","1,122.65","129.56M","-0.59%"
"Aug 05, 2019","1,129.75","1,133.34","1,133.38","1,128.66","254.16M","-0.32%"
"Aug 02, 2019","1,133.34","1,135.06","1,135.47","1,130.02","87.39M","-0.15%"
"Aug 01, 2019","1,135.06","1,139.35","1,139.35","1,132.07","68.53M","-0.37%"
"Jul 31, 2019","1,139.33","1,148.13","1,148.91","1,139.33","189.80M","-0.79%"
"Jul 30, 2019","1,148.40","1,158.77","1,159.22","1,147.92","112.33M","-0.89%"
"Jul 29, 2019","1,158.77","1,158.47","1,160.97","1,157.68","53.48M","0.03%"
"Jul 26, 2019","1,158.47","1,167.00","1,167.27","1,157.12","76.63M","-0.73%"
"Jul 25, 2019","1,167.00","1,168.81","1,169.24","1,166.76","99.91M","-0.15%"
"Jul 24, 2019","1,168.81","1,168.44","1,179.97","1,165.63","132.32M","0.03%"
"Jul 23, 2019","1,168.44","1,152.24","1,168.44","1,150.95","93.69M","1.41%"
"Jul 22, 2019","1,152.24","1,155.48","1,163.11","1,152.22","180.96M","-0.28%"
"Jul 19, 2019","1,155.48","1,152.15","1,158.38","1,148.30","217.66M","0.29%"
"Jul 18, 2019","1,152.15","1,162.83","1,164.63","1,152.15","138.80M","-0.90%"
"Jul 17, 2019","1,162.59","1,172.05","1,172.05","1,162.44","185.17M","-0.83%"
"Jul 16, 2019","1,172.29","1,177.34","1,185.25","1,166.76","132.96M","-0.43%"
"Jul 15, 2019","1,177.34","1,188.26","1,189.46","1,177.08","93.42M","-0.92%"
"Jul 12, 2019","1,188.26","1,199.38","1,202.82","1,188.26","72.69M","-0.93%"
"Jul 11, 2019","1,199.38","1,205.60","1,207.76","1,193.75","155.35M","-0.52%"
"Jul 10, 2019","1,205.60","1,197.85","1,208.06","1,197.37","124.33M","0.65%"
"Jul 09, 2019","1,197.85","1,212.01","1,212.01","1,192.90","162.55M","-1.27%"
"Jul 08, 2019","1,213.28","1,213.90","1,215.62","1,209.78","85.55M","-0.05%"
"Jul 05, 2019","1,213.90","1,216.11","1,217.00","1,212.18","141.56M","-0.18%"
"Jul 04, 2019","1,216.11","1,218.82","1,222.21","1,216.11","149.28M","-0.22%"
"Jul 03, 2019","1,218.82","1,220.38","1,224.77","1,213.23","163.63M","-0.13%"
"Jul 02, 2019","1,220.38","1,232.41","1,233.07","1,220.38","163.93M","-0.98%"
"Jul 01, 2019","1,232.41","1,255.68","1,255.68","1,232.14","79.12M","-1.85%"
"Jun 28, 2019","1,255.68","1,240.55","1,256.46","1,234.67","200.14M","1.22%"
"Jun 27, 2019","1,240.55","1,237.79","1,241.04","1,221.31","259.41M","0.22%"
"Jun 26, 2019","1,237.79","1,236.80","1,243.47","1,234.95","133.07M","0.08%"
"Jun 25, 2019","1,236.80","1,245.65","1,246.06","1,236.80","159.94M","-0.71%"
"Jun 24, 2019","1,245.65","1,245.28","1,248.97","1,238.37","507.31M","0.03%"
"Jun 21, 2019","1,245.28","1,244.62","1,248.01","1,241.03","113.21M","0.25%"
"Jun 20, 2019","1,242.12","1,237.16","1,244.84","1,236.65","211.91M","0.41%"
"Jun 19, 2019","1,237.03","1,237.30","1,242.30","1,236.36","129.34M","-0.02%"
"Jun 18, 2019","1,237.30","1,242.31","1,242.31","1,234.14","474.33M","-0.40%"
"Jun 17, 2019","1,242.31","1,242.32","1,245.28","1,241.95","95.39M","-0.00%"
"Jun 14, 2019","1,242.32","1,244.23","1,244.96","1,241.52","118.39M","-0.13%"
"Jun 13, 2019","1,243.98","1,247.12","1,247.46","1,242.20","199.06M","-0.25%"
"Jun 11, 2019","1,247.12","1,254.58","1,254.58","1,244.52","116.18M","-0.59%"
"Jun 10, 2019","1,254.58","1,257.60","1,259.36","1,253.61","165.39M","-0.24%"
"Jun 07, 2019","1,257.60","1,262.48","1,262.56","1,256.83","212.53M","-0.37%"
"Jun 06, 2019","1,262.29","1,278.32","1,279.48","1,247.00","177.38M","-1.25%"
"Jun 03, 2019","1,278.32","1,286.68","1,287.99","1,273.30","-","-0.65%"
"May 31, 2019","1,286.68","1,302.05","1,302.28","1,285.31","-","-1.18%"
"May 30, 2019","1,302.05","1,314.11","1,314.58","1,298.26","-","-0.92%"
"May 28, 2019","1,314.11","1,259.34","1,314.11","1,259.08","-","4.35%"
"May 27, 2019","1,259.34","1,265.61","1,272.85","1,258.65","-","-0.50%"
"May 24, 2019","1,265.61","1,272.41","1,276.00","1,257.16","-","-0.53%"
"May 23, 2019","1,272.41","1,266.24","1,287.47","1,253.80","-","0.49%"
"May 22, 2019","1,266.24","1,265.94","1,273.12","1,247.84","-","0.02%"
"May 21, 2019","1,265.94","1,252.93","1,267.26","1,252.27","-","1.04%"
"May 20, 2019","1,252.93","1,255.43","1,258.00","1,252.93","-","-0.20%"
"May 17, 2019","1,255.43","1,254.42","1,256.84","1,252.20","-","0.08%"
"May 16, 2019","1,254.42","1,269.37","1,272.19","1,254.20","-","-1.18%"
"May 15, 2019","1,269.37","1,273.38","1,274.15","1,269.37","-","-0.37%"
"May 14, 2019","1,274.07","1,276.99","1,279.50","1,272.25","-","-0.58%"
"May 13, 2019","1,281.49","1,294.53","1,297.76","1,280.47","-","-1.01%"
"May 10, 2019","1,294.53","1,296.45","1,296.45","1,287.57","-","-0.15%"
"May 09, 2019","1,296.45","1,301.77","1,304.11","1,296.13","-","-0.41%"
"May 08, 2019","1,301.77","1,306.04","1,307.98","1,300.11","-","-0.33%"
"May 07, 2019","1,306.04","1,312.40","1,312.40","1,306.04","-","-0.48%"
"May 06, 2019","1,312.40","1,313.28","1,313.96","1,309.24","-","-0.07%"
"May 03, 2019","1,313.28","1,312.92","1,317.12","1,312.00","-","0.03%"
"May 02, 2019","1,312.92","1,311.81","1,314.75","1,310.84","-","0.08%"
"Apr 30, 2019","1,311.81","1,326.07","1,331.07","1,310.33","-","-0.98%"
"Apr 29, 2019","1,324.82","1,332.75","1,336.26","1,322.47","-","-0.60%"
"Apr 26, 2019","1,332.75","1,343.40","1,347.78","1,332.75","-","-0.79%"
"Apr 25, 2019","1,343.40","1,339.75","1,345.29","1,337.09","-","0.23%"
"Apr 24, 2019","1,340.27","1,348.73","1,350.75","1,337.89","-","-0.66%"
"Apr 23, 2019","1,349.17","1,351.59","1,353.06","1,345.82","-","-0.18%"
"Apr 18, 2019","1,351.59","1,348.21","1,353.41","1,347.33","-","0.37%"
"Apr 17, 2019","1,346.64","1,337.37","1,348.88","1,333.63","-","0.89%"
"Apr 16, 2019","1,334.75","1,321.78","1,334.75","1,321.78","-","0.88%"
"Apr 15, 2019","1,323.05","1,324.04","1,327.63","1,321.86","-","-0.07%"
"Apr 12, 2019","1,324.04","1,314.68","1,324.07","1,312.42","-","0.76%"
"Apr 11, 2019","1,313.99","1,305.22","1,313.99","1,304.69","-","0.58%"
"Apr 10, 2019","1,306.41","1,302.58","1,307.89","1,302.58","-","0.33%"
"Apr 09, 2019","1,302.08","1,302.29","1,302.34","1,292.98","-","-0.03%"
"Apr 08, 2019","1,302.41","1,324.07","1,324.32","1,292.49","-","-1.64%"
"Apr 05, 2019","1,324.07","1,321.76","1,327.17","1,321.72","-","0.17%"
"Apr 04, 2019","1,321.76","1,323.78","1,325.87","1,319.71","-","-0.33%"
"Apr 03, 2019","1,326.14","1,346.71","1,351.38","1,325.92","-","-1.78%"
"Apr 02, 2019","1,350.11","1,368.92","1,378.19","1,349.33","-","-1.37%"
"Apr 01, 2019","1,368.92","1,392.65","1,392.70","1,368.92","-","-1.70%"
"Mar 29, 2019","1,392.65","1,384.25","1,392.65","1,378.71","-","0.61%"
"Mar 28, 2019","1,384.25","1,382.04","1,386.59","1,378.61","-","0.16%"
"Mar 27, 2019","1,382.04","1,393.01","1,396.12","1,380.96","-","-0.79%"
"Mar 26, 2019","1,393.01","1,396.13","1,398.95","1,392.80","-","-0.22%"
"Mar 25, 2019","1,396.13","1,398.55","1,399.24","1,393.54","-","-0.19%"
"Mar 22, 2019","1,398.78","1,388.05","1,399.54","1,388.05","-","0.77%"
"Mar 21, 2019","1,388.05","1,398.65","1,399.06","1,385.84","-","-0.66%"
"Mar 20, 2019","1,397.24","1,398.37","1,400.05","1,395.14","-","-0.08%"
"Mar 19, 2019","1,398.37","1,400.94","1,401.35","1,391.89","-","-0.18%"
"Mar 18, 2019","1,400.94","1,401.60","1,402.37","1,399.40","-","-0.05%"
"Mar 15, 2019","1,401.60","1,402.28","1,405.85","1,399.26","-","-0.19%"
"Mar 14, 2019","1,404.23","1,409.88","1,411.05","1,404.23","-","-0.36%"
"Mar 13, 2019","1,409.35","1,404.92","1,409.35","1,393.01","-","0.27%"
"Mar 12, 2019","1,405.58","1,420.99","1,421.78","1,402.91","-","-1.08%"
"Mar 11, 2019","1,420.99","1,426.69","1,431.10","1,420.99","-","-1.20%"
"Mar 08, 2019","1,438.19","1,442.67","1,444.42","1,435.76","-","-0.46%"
"Mar 07, 2019","1,444.88","1,446.50","1,448.83","1,442.32","-","-0.11%"
"Mar 06, 2019","1,446.50","1,447.55","1,447.55","1,443.40","-","-0.07%"
"Mar 05, 2019","1,447.55","1,443.26","1,451.74","1,443.05","-","0.30%"
"Mar 04, 2019","1,443.26","1,427.91","1,443.26","1,427.91","-","1.07%"
"Mar 01, 2019","1,427.91","1,424.60","1,435.34","1,422.16","-","0.23%"
"Feb 28, 2019","1,424.60","1,455.93","1,477.87","1,424.60","-","-2.14%"
"Feb 27, 2019","1,455.75","1,469.79","1,471.75","1,453.19","-","-0.96%"
"Feb 26, 2019","1,469.79","1,483.68","1,485.55","1,468.76","-","-0.94%"
"Feb 25, 2019","1,483.68","1,473.90","1,484.40","1,473.90","-","0.66%"
"Feb 22, 2019","1,473.90","1,477.89","1,479.76","1,471.58","-","-0.22%"
"Feb 21, 2019","1,477.19","1,482.07","1,486.74","1,477.19","-","-0.21%"
"Feb 20, 2019","1,480.28","1,467.16","1,480.50","1,467.16","-","0.91%"
"Feb 19, 2019","1,466.94","1,456.63","1,467.07","1,451.79","-","0.71%"
"Feb 18, 2019","1,456.63","1,483.73","1,487.04","1,443.43","-","-1.92%"
"Feb 15, 2019","1,485.14","1,468.79","1,496.01","1,468.79","-","1.13%"
"Feb 14, 2019","1,468.57","1,468.90","1,471.66","1,465.05","-","-0.02%"
"Feb 13, 2019","1,468.90","1,474.26","1,479.52","1,458.87","-","-0.36%"
"Feb 12, 2019","1,474.26","1,437.76","1,474.28","1,437.76","-","2.59%"
"Feb 11, 2019","1,437.02","1,421.80","1,438.96","1,421.00","-","1.07%"
"Feb 08, 2019","1,421.80","1,411.55","1,433.64","1,411.55","-","0.82%"
"Feb 07, 2019","1,410.23","1,379.98","1,410.23","1,379.98","-","2.17%"
"Feb 06, 2019","1,380.23","1,374.80","1,380.46","1,374.48","-","0.39%"
"Feb 05, 2019","1,374.80","1,373.75","1,374.99","1,366.08","-","0.08%"
"Feb 04, 2019","1,373.75","1,366.69","1,374.05","1,366.69","-","0.52%"
"Feb 01, 2019","1,366.69","1,359.93","1,370.03","1,359.93","-","0.50%"
"Jan 31, 2019","1,359.93","1,387.79","1,387.79","1,359.93","-","-2.01%"
"Jan 30, 2019","1,387.79","1,389.72","1,391.04","1,386.95","-","-0.14%"
"Jan 29, 2019","1,389.72","1,397.22","1,397.22","1,389.72","-","-0.58%"
"Jan 28, 2019","1,397.76","1,402.75","1,404.64","1,391.82","-","-0.37%"
"Jan 25, 2019","1,402.97","1,382.02","1,403.67","1,381.23","-","1.52%"
"Jan 24, 2019","1,382.02","1,377.14","1,382.02","1,376.03","-","0.39%"
"Jan 23, 2019","1,376.71","1,368.38","1,376.71","1,368.38","-","0.61%"
"Jan 22, 2019","1,368.38","1,364.60","1,372.38","1,359.62","-","0.28%"
"Jan 21, 2019","1,364.60","1,378.95","1,380.95","1,363.49","-","-1.04%"
"Jan 18, 2019","1,378.95","1,364.02","1,378.95","1,361.93","-","1.02%"
"Jan 17, 2019","1,364.96","1,361.68","1,365.70","1,355.11","-","0.24%"
"Jan 16, 2019","1,361.68","1,353.47","1,368.42","1,346.80","-","0.61%"
"Jan 15, 2019","1,353.47","1,348.45","1,355.47","1,348.45","-","0.37%"
"Jan 14, 2019","1,348.45","1,343.94","1,349.49","1,339.27","-","0.34%"
"Jan 11, 2019","1,343.94","1,332.77","1,364.84","1,332.52","-","0.86%"
"Jan 10, 2019","1,332.52","1,324.97","1,336.80","1,324.54","-","0.57%"
"Jan 09, 2019","1,324.97","1,347.24","1,349.18","1,324.97","-","-1.65%"
"Jan 08, 2019","1,347.24","1,369.70","1,371.67","1,344.52","-","-1.42%"
"Jan 07, 2019","1,366.65","1,380.23","1,382.09","1,357.56","-","-0.88%"
"Jan 04, 2019","1,378.82","1,384.92","1,384.92","1,373.60","-","-0.44%"
"Jan 03, 2019","1,384.92","1,400.34","1,401.12","1,383.65","-","-1.05%"
"Jan 02, 2019","1,399.64","1,417.08","1,417.08","1,399.38","-","-1.24%"
"Dec 31, 2018","1,417.15","1,401.76","1,417.15","1,388.40","-","1.08%"
"Dec 28, 2018","1,402.00","1,434.59","1,441.00","1,401.78","-","-2.27%"
"Dec 27, 2018","1,434.59","1,441.74","1,441.74","1,426.88","-","-0.50%"
"Dec 24, 2018","1,441.74","1,385.04","1,441.74","1,385.04","-","4.09%"
"Dec 21, 2018","1,385.04","1,385.92","1,391.35","1,382.80","-","-0.03%"
"Dec 20, 2018","1,385.47","1,383.41","1,385.50","1,374.04","-","0.15%"
"Dec 19, 2018","1,383.41","1,385.74","1,389.11","1,382.96","-","-0.17%"
"Dec 18, 2018","1,385.74","1,379.27","1,387.15","1,378.44","-","0.47%"
"Dec 17, 2018","1,379.27","1,384.27","1,385.05","1,375.72","-","-0.26%"
"Dec 14, 2018","1,382.81","1,376.31","1,386.76","1,375.91","-","0.47%"
"Dec 13, 2018","1,376.31","1,381.22","1,386.57","1,376.25","-","-0.36%"
"Dec 12, 2018","1,381.22","1,385.89","1,388.71","1,381.22","-","-0.37%"
"Dec 11, 2018","1,386.35","1,382.11","1,388.74","1,378.37","-","0.31%"
"Dec 10, 2018","1,382.11","1,396.37","1,409.13","1,382.11","-","-1.02%"
"Dec 07, 2018","1,396.37","1,392.63","1,402.09","1,390.13","-","0.27%"
"Dec 06, 2018","1,392.63","1,406.69","1,407.08","1,390.39","-","-1.00%"
"Dec 05, 2018","1,406.69","1,403.04","1,408.30","1,399.53","-","0.26%"
"Dec 04, 2018","1,403.04","1,393.09","1,404.63","1,392.73","-","0.71%"
"Dec 03, 2018","1,393.09","1,394.99","1,397.01","1,389.78","-","-0.14%"
"Nov 30, 2018","1,394.99","1,381.88","1,399.54","1,379.96","-","0.95%"
"Nov 29, 2018","1,381.88","1,398.96","1,400.74","1,378.14","-","-1.22%"
"Nov 28, 2018","1,398.96","1,403.43","1,409.63","1,397.51","-","-0.32%"
"Nov 27, 2018","1,403.43","1,422.17","1,422.95","1,402.56","-","-1.50%"
"Nov 26, 2018","1,424.80","1,430.07","1,432.42","1,423.93","-","-0.37%"
"Nov 23, 2018","1,430.07","1,442.44","1,443.35","1,426.22","-","-0.86%"
"Nov 22, 2018","1,442.44","1,441.44","1,443.07","1,439.14","-","0.07%"
"Nov 21, 2018","1,441.44","1,451.25","1,458.56","1,441.35","-","-0.68%"
"Nov 19, 2018","1,451.25","1,442.98","1,452.48","1,441.72","-","0.57%"
"Nov 16, 2018","1,442.98","1,431.60","1,446.87","1,431.05","-","0.79%"
"Nov 15, 2018","1,431.60","1,444.39","1,445.50","1,431.60","-","-0.98%"
"Nov 14, 2018","1,445.80","1,446.97","1,449.42","1,444.00","-","-0.08%"
"Nov 13, 2018","1,446.97","1,444.93","1,454.58","1,443.26","-","0.11%"
"Nov 12, 2018","1,445.35","1,447.92","1,449.20","1,444.25","-","-0.17%"
"Nov 09, 2018","1,447.79","1,449.01","1,450.31","1,443.82","-","-0.08%"
"Nov 08, 2018","1,449.01","1,442.48","1,450.27","1,442.20","-","0.45%"
"Nov 07, 2018","1,442.48","1,445.11","1,448.48","1,441.46","-","-0.18%"
"Nov 06, 2018","1,445.11","1,439.15","1,448.15","1,433.30","-","0.41%"
"Nov 05, 2018","1,439.15","1,443.81","1,446.63","1,438.55","-","-0.32%"
"Nov 02, 2018","1,443.81","1,437.71","1,447.02","1,437.71","-","0.42%"
"Nov 01, 2018","1,437.71","1,455.56","1,456.61","1,437.71","-","-1.26%"
"Oct 31, 2018","1,456.02","1,487.44","1,490.39","1,452.55","-","-2.11%"
"Oct 30, 2018","1,487.44","1,491.73","1,503.49","1,475.75","-","-0.29%"
"Oct 29, 2018","1,491.73","1,476.17","1,491.96","1,471.09","-","1.05%"
"Oct 26, 2018","1,476.17","1,467.85","1,476.17","1,455.87","-","0.57%"
"Oct 25, 2018","1,467.85","1,460.82","1,469.25","1,460.45","-","0.48%"
"Oct 24, 2018","1,460.82","1,490.83","1,490.83","1,460.82","-","-1.98%"
"Oct 23, 2018","1,490.35","1,480.53","1,491.50","1,480.53","-","0.66%"
"Oct 22, 2018","1,480.53","1,474.26","1,481.60","1,474.11","-","0.43%"
"Oct 19, 2018","1,474.26","1,468.58","1,477.47","1,467.15","-","0.39%"
"Oct 18, 2018","1,468.58","1,462.06","1,476.76","1,459.81","-","0.45%"
"Oct 17, 2018","1,462.06","1,472.02","1,472.02","1,461.26","-","-0.68%"
"Oct 16, 2018","1,472.02","1,459.05","1,473.02","1,459.05","-","0.89%"
"Oct 15, 2018","1,459.05","1,461.89","1,462.15","1,458.30","-","-0.19%"
"Oct 12, 2018","1,461.89","1,458.72","1,461.89","1,454.38","97.89M","0.22%"
"Oct 11, 2018","1,458.72","1,454.62","1,459.81","1,453.58","101.98M","0.16%"
"Oct 10, 2018","1,456.33","1,458.20","1,461.18","1,456.33","75.25M","-0.13%"
"Oct 09, 2018","1,458.20","1,460.40","1,461.54","1,454.02","58.34M","-0.15%"
"Oct 08, 2018","1,460.40","1,457.49","1,462.07","1,457.16","52.58M","0.20%"
"Oct 05, 2018","1,457.49","1,459.92","1,459.98","1,455.21","82.79M","-0.17%"
"Oct 04, 2018","1,459.92","1,462.47","1,465.73","1,458.46","81.36M","-0.17%"
"Oct 03, 2018","1,462.47","1,471.25","1,472.52","1,461.65","71.94M","-0.60%"
"Oct 02, 2018","1,471.25","1,473.42","1,476.66","1,470.38","119.78M","-0.16%"
"Sep 28, 2018","1,473.63","1,473.49","1,476.58","1,467.85","137.81M","0.01%"
"Sep 27, 2018","1,473.49","1,484.40","1,485.27","1,469.52","98.72M","-0.73%"
"Sep 26, 2018","1,484.40","1,487.07","1,491.73","1,481.49","125.76M","-0.18%"
"Sep 25, 2018","1,487.07","1,466.54","1,493.14","1,466.54","172.45M","2.18%"
"Sep 24, 2018","1,455.41","1,461.15","1,462.87","1,453.35","136.93M","-0.39%"
"Sep 21, 2018","1,461.15","1,452.22","1,469.31","1,452.22","258.09M","0.61%"
"Sep 20, 2018","1,452.22","1,446.99","1,452.22","1,443.93","112.36M","0.36%"
"Sep 19, 2018","1,446.99","1,445.67","1,447.70","1,441.63","90.26M","-0.02%"
"Sep 18, 2018","1,447.26","1,438.41","1,447.26","1,436.74","157.53M","0.62%"
"Sep 17, 2018","1,438.41","1,444.73","1,446.02","1,438.41","93.40M","-0.44%"
"Sep 14, 2018","1,444.73","1,428.41","1,449.73","1,428.37","188.01M","1.27%"
"Sep 13, 2018","1,426.67","1,440.11","1,441.80","1,422.73","107.68M","-0.93%"
"Sep 12, 2018","1,440.11","1,489.47","1,489.47","1,438.94","176.79M","-3.31%"
"Sep 11, 2018","1,489.47","1,496.47","1,496.76","1,470.69","84.81M","-0.48%"
"Sep 10, 2018","1,496.72","1,518.83","1,519.30","1,496.07","66.26M","-1.54%"
"Sep 07, 2018","1,520.07","1,523.68","1,527.05","1,509.33","89.83M","-0.24%"
"Sep 06, 2018","1,523.68","1,541.47","1,542.20","1,522.72","94.00M","-1.15%"
"Sep 05, 2018","1,541.47","1,562.12","1,564.79","1,533.09","89.78M","-1.32%"
"Sep 04, 2018","1,562.12","1,556.38","1,563.91","1,556.38","169.38M","0.37%"
"Sep 03, 2018","1,556.38","1,561.37","1,561.37","1,524.82","70.99M","-0.32%"
"Aug 31, 2018","1,561.37","1,573.18","1,573.18","1,539.98","204.97M","-0.75%"
"Aug 30, 2018","1,573.18","1,585.23","1,588.18","1,567.24","152.28M","-0.78%"
"Aug 29, 2018","1,585.48","1,593.74","1,596.68","1,585.48","108.39M","-0.52%"
"Aug 28, 2018","1,593.74","1,581.98","1,593.74","1,581.73","147.43M","0.74%"
"Aug 27, 2018","1,581.98","1,582.08","1,586.98","1,559.04","78.63M","-0.01%"
"Aug 24, 2018","1,582.08","1,575.38","1,590.69","1,575.11","326.14M","0.43%"
"Aug 23, 2018","1,575.38","1,561.51","1,575.38","1,551.64","137.85M","-0.51%"
"Aug 20, 2018","1,583.38","1,589.77","1,590.01","1,570.35","162.44M","-0.40%"
"Aug 17, 2018","1,589.77","1,567.72","1,597.07","1,565.93","91.65M","1.41%"
"Aug 16, 2018","1,567.72","1,582.43","1,582.43","1,566.97","145.62M","-0.95%"
"Aug 15, 2018","1,582.74","1,593.83","1,594.50","1,581.73","130.93M","-0.70%"
"Aug 14, 2018","1,593.83","1,600.23","1,601.44","1,587.89","86.21M","-0.36%"
"Aug 13, 2018","1,599.61","1,602.31","1,604.12","1,597.03","111.90M","-0.17%"
"Aug 10, 2018","1,602.31","1,629.34","1,629.34","1,602.05","128.60M","-1.66%"
"Aug 09, 2018","1,629.34","1,633.71","1,637.19","1,624.87","76.55M","-0.27%"
"Aug 08, 2018","1,633.71","1,635.25","1,635.30","1,633.29","52.68M","-0.09%"
"Aug 07, 2018","1,635.25","1,643.69","1,644.37","1,635.09","76.39M","-0.51%"
"Aug 06, 2018","1,643.69","1,643.87","1,650.05","1,639.31","78.64M","-0.01%"
"Aug 03, 2018","1,643.87","1,651.39","1,654.67","1,642.60","108.43M","-0.46%"
"Aug 02, 2018","1,651.39","1,646.87","1,651.70","1,640.79","122.30M","0.27%"
"Aug 01, 2018","1,646.87","1,665.16","1,665.16","1,644.55","181.87M","-1.10%"
"Jul 31, 2018","1,665.16","1,662.46","1,665.16","1,648.01","139.79M","0.16%"
"Jul 30, 2018","1,662.46","1,642.22","1,662.46","1,642.18","122.12M","1.23%"
"Jul 27, 2018","1,642.22","1,631.89","1,643.63","1,631.89","153.36M","0.63%"
"Jul 26, 2018","1,631.89","1,626.36","1,645.93","1,625.60","104.02M","0.34%"
"Jul 25, 2018","1,626.36","1,632.47","1,633.46","1,625.86","255.46M","-0.37%"
"Jul 24, 2018","1,632.47","1,647.46","1,647.46","1,632.05","214.87M","-0.91%"
"Jul 23, 2018","1,647.46","1,642.22","1,647.46","1,642.22","72.72M","0.32%"
"Jul 20, 2018","1,642.22","1,640.90","1,647.48","1,635.20","157.95M","0.09%"
"Jul 19, 2018","1,640.67","1,656.76","1,665.80","1,638.40","185.54M","-0.97%"
"Jul 18, 2018","1,656.76","1,668.09","1,668.09","1,648.81","101.31M","-0.68%"
"Jul 17, 2018","1,668.09","1,686.42","1,688.29","1,667.33","108.68M","-1.15%"
"Jul 16, 2018","1,687.49","1,691.62","1,691.62","1,685.07","127.26M","-0.24%"
"Jul 13, 2018","1,691.62","1,681.66","1,691.62","1,679.35","149.81M","0.59%"
"Jul 12, 2018","1,681.66","1,684.67","1,684.70","1,675.37","185.99M","-0.18%"
"Jul 11, 2018","1,684.67","1,691.31","1,692.16","1,683.39","228.60M","-0.37%"
"Jul 10, 2018","1,690.88","1,703.54","1,703.54","1,690.86","136.75M","-0.77%"
"Jul 09, 2018","1,703.96","1,705.14","1,709.23","1,703.96","102.27M","-0.07%"
"Jul 06, 2018","1,705.14","1,709.78","1,714.03","1,704.64","83.68M","-0.27%"
"Jul 05, 2018","1,709.78","1,702.71","1,709.78","1,698.91","429.26M","0.42%"
"Jul 04, 2018","1,702.71","1,708.66","1,708.99","1,700.27","105.52M","-0.35%"
"Jul 03, 2018","1,708.66","1,725.83","1,725.83","1,708.44","88.76M","-0.99%"
"Jul 02, 2018","1,725.83","1,739.08","1,741.36","1,725.83","83.39M","-0.76%"
"Jun 29, 2018","1,739.08","1,713.26","1,739.63","1,713.26","179.09M","1.51%"
"Jun 28, 2018","1,713.26","1,720.88","1,720.88","1,711.92","175.35M","-0.44%"
"Jun 27, 2018","1,720.88","1,720.74","1,723.58","1,716.90","119.86M","0.01%"
"Jun 26, 2018","1,720.74","1,722.97","1,724.10","1,717.41","180.24M","-0.13%"
"Jun 25, 2018","1,722.97","1,721.95","1,724.08","1,712.87","122.35M","0.06%"
"Jun 22, 2018","1,721.95","1,731.30","1,733.84","1,721.47","72.14M","-0.54%"
"Jun 21, 2018","1,731.30","1,745.09","1,745.09","1,727.31","157.18M","-0.79%"
"Jun 20, 2018","1,745.09","1,747.66","1,747.66","1,741.34","175.66M","-0.15%"
"Jun 19, 2018","1,747.66","1,761.28","1,761.28","1,745.01","274.32M","-0.77%"
"Jun 14, 2018","1,761.28","1,767.02","1,768.88","1,743.51","172.93M","-0.32%"
"Jun 13, 2018","1,767.02","1,774.42","1,780.25","1,767.02","214.41M","-0.42%"
"Jun 12, 2018","1,774.42","1,761.12","1,789.65","1,761.05","163.55M","0.76%"
"Jun 11, 2018","1,761.12","1,750.44","1,761.71","1,749.36","145.67M","0.61%"
"Jun 08, 2018","1,750.44","1,764.65","1,767.13","1,748.62","147.03M","-0.81%"
"Jun 07, 2018","1,764.65","1,742.55","1,764.65","1,742.55","282.41M","1.27%"
"Jun 06, 2018","1,742.55","1,713.75","1,744.46","1,713.75","309.26M","1.68%"
"Jun 05, 2018","1,713.75","1,670.72","1,713.75","1,670.72","262.73M","2.50%"
"Jun 04, 2018","1,671.93","1,663.08","1,671.93","1,659.02","199.01M","0.53%"
"Jun 01, 2018","1,663.08","1,712.93","1,715.46","1,658.84","351.03M","-2.91%"
"May 31, 2018","1,712.93","1,739.52","1,749.49","1,707.61","370.39M","-1.53%"
"May 30, 2018","1,739.52","1,759.98","1,767.24","1,739.28","251.44M","-1.19%"
"May 28, 2018","1,760.42","1,775.78","1,775.78","1,754.26","110.39M","-0.86%"
"May 25, 2018","1,775.78","1,798.97","1,807.95","1,770.27","141.46M","-1.29%"
"May 24, 2018","1,798.97","1,821.13","1,821.13","1,798.97","137.36M","-1.22%"
"May 23, 2018","1,821.13","1,825.69","1,826.16","1,819.27","131.24M","-0.25%"
"May 22, 2018","1,825.69","1,834.58","1,836.67","1,825.69","128.72M","-0.48%"
"May 21, 2018","1,834.58","1,836.52","1,837.24","1,832.19","117.91M","-0.18%"
"May 18, 2018","1,837.88","1,845.07","1,846.37","1,836.37","212.73M","-0.39%"
